ID_NLS,TIPO,RIC,PR,COMUNE,INDIR_ORIG,ZIP,ISTAT,DENOM_IMPRES,INSEGNA,INIZIO_ATT,ANNO_RICONOSCIMENTO,CAT_MERC,geo_y,geo_x
7578,Negozio storico,Storica attività,MI,MILANO,"VIA ANTONIO MARIA CERIANI, 26",20153,15146,BERNASCONI BRUNO,FERRAMENTA AL MURUNASC,1921,2017,Casa e arredamento,45.4622478,9.0889099
7579,Negozio storico,Storica attività,MI,MILANO,"VIA GIOVANNI BRIOSI, 10",20133,15146,EREDI BOTTINI ANDREA DI ROBERTO BIANCHI S.N.C.,MACELLERIA EREDI BOTTINI ANDREA,1936,2018,Alimentari e specialità alimentari,45.470539,9.2287805
7580,Negozio storico,Storica attività,MI,MILANO,"VIA PROCACCINI GIULIO CESARE, 63",20154,15146,LA MUSICALE DI BISIGHINI LIVIA,LA MUSICALE DEL M° G. GUERRINI,1964,2017,Sport e tempo libero,45.4812755,9.1672423
7581,Negozio storico,Storica attività,MI,MILANO,"VIALE SABOTINO, 2",20135,15146,BOATI CLAUDIO SAS DI BOATI CHIARA E GIULIA,CARTOLERIA BOATI CLAUDIO,1942,2017,Cartoleria e libreria,45.4508039,9.1971159
7587,Negozio storico,Storica attività,MI,MILANO,"VIA ZEBEDIA, 9",20123,15146,BRANCATO DANIELE,OROLOGERIA ZEBEDIA,1947,2017,Sport e tempo libero,45.460697,9.1868795
7589,Negozio storico,Storica attività,MI,MILANO,"VIA SANTA CROCE, 1",20122,15146,BRIGO NICOLETTA,MACELLERIA BRIGO,1964,2017,Alimentari e specialità alimentari,45.4561943,9.1838191
7591,Negozio storico,Storica attività,MI,MILANO,"VIA CARDINALE GIOVANNI CAGLIERO, 7",20125,15146,BROVELLI GIULIANA ANTONIA,BOUTIQUE NELLA,1961,2018,Abbigliamento e accessori,45.4946656,9.205166
7592,Locale storico,Storica attività,MI,MILANO,"VIA GIOVANNI BATTISTA PERGOLESI, 3",20124,15146,LA BOTTEGA DEL GELATO DI MARCO CARDELLI,LA BOTTEGA DEL GELATO DA CARDELLI,1964,2016,"Gelaterie, pasticcerie e torrefazioni",45.4834664,9.2131785
7594,Negozio storico,Storica attività,MI,MILANO,"VIA DIGIONE, 9",20144,15146,CARMINATI ANGELO,PANIFICIO CARMINATI PANE E DOLCI,1962,2018,Alimentari e specialità alimentari,45.4604038,9.1552378
7595,Negozio storico,Storica attività,MI,MILANO,"VIA MARIOTTO ALBERTINELLI, 2",20148,15146,NUOVO MOBILIFICIO ALBERTINELLI DI COLOMBO GIANCLAUDIO GAETANO & C. S.A.S.,MOBILIFICIO ALBERTINELLI,1961,2018,Casa e arredamento,45.4746563,9.1399672
7599,Locale storico,Locale storico,MI,MILANO,"VIA MARGHERA, 10",20149,15146,"""LOM.COR. S.R.L.""",PASTICCERIA MORIONDO,1909,2018,Bar e tabaccheria,45.4675663,9.1541869
7648,Negozio storico,Storica attività,MI,MILANO,"VIA PIERO DELLA FRANCESCA, 31",20154,15146,DOODAD S.A.S. DI IVAN FECOLA & C.,GUFFANTI IMPIANTI,1934,2016,Attrezzature,45.4839111,9.163742
7649,Negozio storico,Storica attività,MI,MILANO,"VIA TITO LIVIO, 24",20137,15146,MAGLIERIA TINA DI PASINI CLAUDIO S.A.S.,MAGLIERIA TINA,1962,2016,Abbigliamento e accessori,45.4509276,9.2183459
7697,Negozio storico,Storica attività,MI,MILANO,"PIAZZA DUOMO - PORT.MERIDIONALI, SNC",20123,15146,LABO' GIAMPIERO LUIGI,EDICOLA LABÒ,1951,2016,Cartoleria e libreria,45.46796,9.18178
7698,Negozio storico,Storica attività,MI,MILANO,"VIA CASTEL MORRONE, 2",20129,15146,PISA DI PISA ELISABETTA E LAURA S.N.C.,PISA,1953,2016,Preziosi,45.4687292,9.2149246
7722,Negozio storico,Storica attività,MI,MILANO,"VIA SAN SISTO, 5",20123,15146,ARIENTI COMPLEMENTI D'ARREDO SNC DI ARIENTI MARIALUISA E ARIENTI SILVIO,ARIENTI COMPLEMENTI D'ARREDO,1931,2017,Casa e arredamento,45.4611179,9.1814165
7723,Negozio storico,Storica attività,MI,MILANO,"VIA DOGANA, 2",20123,15146,CAMICERIA MILANESE DI DEANGELIS ROSSANA,CAMICERIA MILANESE,1922,2018,Abbigliamento e accessori,45.4633435,9.1891112
7725,Negozio storico,Negozio storico,MI,MILANO,"VIA FIORI OSCURI, 13",20121,15146,ANTICA FARMACIA DI BRERA SAS DEL DR. STEFANO DANESI E C.,ANTICA FARMACIA DI BRERA,1812,2018,Salute e benessere,45.4726105,9.1892168
7735,Negozio storico,Negozio storico,MI,MILANO,"CORSO VITTORIO EMANUELE II, 15",20122,15146,NANO BLEU SRL,NANO BLEU,1949,2017,Sport e tempo libero,45.465684,9.196062
7770,Negozio storico,Storica attività,MI,MILANO,"VIALE FULVIO TESTI, 78",20126,15146,EREDI FARINA S.A.S. DI ROMUALDO E SILVANO FARINA E C.,CASALINGHI FERRAMENTA FARINA,1951,2017,Attrezzature,45.5092198,9.2026904
7771,Negozio storico,Storica attività,MI,MILANO,"VIA ANDREA SOLARI, 46",20144,15146,OCCHIALI PELO S.N.C. DEI F.LLI PELO E GRAZIELLA MARCUOLA,OCCHIALI PELO DAL 1930,1930,2017,Ottica e fotografia,45.4540273,9.1585946
7772,Negozio storico,Storica attività,MI,MILANO,"VIA DEGLI IMBRIANI, 61",20158,15146,CALZATURE VALASSINA DI VALASSINA ANNA CHIARA,KAMMI VALASSINA,1957,2017,Abbigliamento e accessori,45.501664,9.1658999
7788,Negozio storico,Storica attività,MI,MILANO,"VIA NICASTRO, 4",20137,15146,GATTI GIANANTONIO,PANIFICIO GATTI,1909,2017,Alimentari e specialità alimentari,45.4520604,9.221686
7789,Locale storico,Storica attività,MI,MILANO,"VIA SAN GREGORIO, 1",20124,15146,PASTICCERIA SAN GREGORIO S.A.S. DI PIERANGELO BERNASCONI & C.,PASTICCERIA SAN GREGORIO,1948,2017,"Gelaterie, pasticcerie e torrefazioni",45.4777968,9.2078841
7817,Negozio storico,Storica attività,MI,MILANO,"VIALE TUNISIA, 4",20124,15146,LIBRERIA INTERNAZIONALE C.E.L.I.P. CASA EDITRICE LIBRERIA INTERNAZIONALE PARTIPILO,LIBRERIA PARTIPILO,1966,2017,Cartoleria e libreria,45.4769782,9.2064745
7823,Negozio storico,Storica attività,MI,MILANO,"CORSO XXII MARZO, 23",20129,15146,FIERA DEL LIBRO DI GUAITAMACCHI DAVIDE & C. S.N.C.,LIBRERIA FIERA DEL LIBRO,1962,2017,Cartoleria e libreria,45.4623834,9.2108866
7830,Negozio storico,Storica attività,MI,MILANO,"VIALE MONTE NERO, 73",20135,15146,INVERNIZZI ORESTE S.A.S. DI INVERNIZZI VITTORIO E C.,INVERNIZZI,1923,2018,Attrezzature,45.4611684,9.2074365
7833,Negozio storico,Storica attività,MI,MILANO,"PIAZZA ANTONIO GRAMSCI, 12",20154,15146,FRANCONE S.R.L.,CONCESSIONARIA FRANCONE,1956,2018,Auto e Moto,45.4822942,9.1683058
7834,Negozio storico,Storica attività,MI,MILANO,"VIA URBANO III, 4",20123,15146,VALIGERIA VETRA SAS DI MARCHINO ROBERTO & C.,VALIGERIA MARCHINO,1962,2018,Abbigliamento e accessori,45.4589638,9.1816843
7836,Negozio storico,Storica attività,MI,MILANO,"VIA VINCENZO MONTI, 28",20123,15146,GIO' YDEA DI PASETTI DEA,GIOYDEA DI PASETTI DEA,1908,2018,Abbigliamento e accessori,45.4685999,9.1724577
7837,Negozio storico,Storica attività,MI,MILANO,"VIALE TIBALDI, 48",20136,15146,RONCHETTI VITTORIO,RONCHETTI DOLCIUMI,1956,2018,Alimentari e specialità alimentari,45.4439541,9.1824776
7838,Negozio storico,Storica attività,MI,MILANO,"PIAZZALE LAGOSTA, 10",20124,15146,BABY STELLA DI SABATINI CLAUDIA,BABY STELLA,1962,2018,Abbigliamento e accessori,45.4892748,9.1918137
7839,Locale storico,Storica attività,MI,MILANO,"VIA PIERO DELLA FRANCESCA, 68",20154,15146,P.D.F. S.R.L.,RISTORANTE CHATULLE,1930,2018,Ristorazione,45.4863235,9.1601222
7840,Locale storico,Storica attività,MI,MILANO,"VIA SENATO, 7",20121,15146,IL BARETTO AL BAGLIONI S.R.L.,IL BARETTO AL BAGLIONI,1964,2018,Ristorazione,45.4693891,9.1983368
7841,Negozio storico,Storica attività,MI,MILANO,"VIALE SABOTINO, 10",20135,15146,COLTELLERIE ITALIANE ZOPPIS SNC DI ELENA E ROBERTO ZOPPIS,COLTELLERIE ITALIANE ZOPPIS,1945,2018,Miscellanea,45.4508093,9.1987954
7850,Negozio storico,Storica attività,MI,MILANO,"PIAZZA DERGANO, 5",20158,15146,I GREGORI S.A.S. DI GREGORI ANDREA E C.,I GREGORI,1933,2018,Preziosi,45.5029505,9.176447
7860,Locale storico,Insegna storica e di tradizione,MI,MILANO,"GALLERIA VITTORIO EMANUELE II, 75",20121,15146,RIDE S.R.L.,GALLERIA,1968,2018,Ristorazione,45.46621,9.1899
